0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:17:19 +0900] "GET /jspStudy/board/boardViewTime.do HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:17:24 +0900] "GET /jspStudy/boardViewTime.do HTTP/1.1" 500 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:17:29 +0900] "GET /jspStudy/boardViewTime.do HTTP/1.1" 500 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/boardViewTime.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 12860
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:39 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:18:55 +0900] "GET /jspStudy/board/boardViewTime.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:11 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 12870
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:11 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:11 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:11 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:11 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:19:12 +0900] "GET /jspStudy/board/boardViewTime.do?viewTime=10 HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:20 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:20 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:20 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:20 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:20 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/boardViewTime.do?viewTime=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:21 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/boardViewTime.do?viewTime=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:25 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:42 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:42 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:42 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:42 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:42 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/boardViewTime.do?viewTime=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=10 HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:43 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/boardViewTime.do?viewTime=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:48 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:58 +0900] "GET /jspStudy/board/boardMain.jsp HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:58 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:58 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:58 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:58 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/boardViewTime.do?viewTime=20 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 12867
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/board/media/slide-1.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/board/media/slide-2.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/board/media/slide-3.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:20:59 +0900] "GET /jspStudy/board/media/slide-4.jpg HTTP/1.1" 404 160
0:0:0:0:0:0:0:1 - - [07/Dec/2024:17:44:04 +0900] "GET /jspStudy/board/boardMain.jsp?viewTime=20 HTTP/1.1" 200 10382
